218	2.714	385	0.98
219	2.654	385	1.00
220	2.626	385	1.04
221	2.647	382	1.07
222	2.598	382	1.10
223	2.545	382	1.10
224	2.595	378	1.16
225	2.577	378	1.18
226	2.522	378	1.16
227	2.632	375	1.22
228	2.538	375	1.25
229	2.561	375	1.27
230	2.482	375	1.26
231	2.491	375	1.29
232	2.421	375	1.29
234	2.754	385	1.14
235	2.772	385	1.17
236	2.754	385	1.14
237	2.742	392	1.07
238	2.762	392	1.08
239	2.759	392	1.08
240	2.730	402	1.07
241	2.729	402	1.04
242	2.731	402	1.08
243	2.719	402	1.09
245	2.643	412	1.09
246	2.639	412	1.08
247	2.642	412	1.08
248	2.736	408	1.05
249	2.621	415	1.09
250	2.628	415	1.10
251	2.603	418	1.12
252	2.608	418	1.11
253	2.586	422	1.14
254	2.532	425	1.13
255	2.543	425	1.16
256	2.490	428	1.17
257	2.526	428	1.17
258	2.465	432	1.15
260	2.831	398	1.17
261	2.832	395	1.22
262	2.857	392	1.30
264	2.833	388	1.35
265	2.791	388	1.41
266	2.795	385	1.45
267	2.746	385	1.50
268	2.799	382	1.55
269	2.759	382	1.60
270	2.732	382	1.63
271	2.677	382	1.65
272	2.773	375	1.65
273	2.761	382	1.66
274	2.739	382	1.66
275	2.714	382	1.67
276	2.786	378	1.67
277	2.720	382	1.74
281	2.620	378	1.69
282	2.685	382	1.68
283	2.771	382	1.64
284	2.721	385	1.64
