,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,2.0,
3,14.0,,1.0,
4,18.0,,12.0,
5,22.0,128.05313,85.0,13.889313
6,26.0,158.34702,123.0,14.27767
7,30.0,125.28518,111.0,11.891543
8,34.0,128.17072,127.0,11.373311
9,38.0,151.24762,165.0,11.774611
10,42.0,125.667244,149.0,10.295061
11,46.0,111.40404,142.0,9.348819
12,50.0,98.71827,134.0,8.52796
13,54.0,66.26934,95.0,6.7990913
14,58.0,27.284126,41.0,4.2610645
15,62.0,7.030795,11.0,2.1198645
16,66.0,1.2355107,2.0,0.873638
17,70.0,0.60056615,1.0,0.60056615
18,74.0,,0.0,
19,78.0,,0.0,
20,82.0,0.5698937,1.0,0.5698937
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,0.6177552,1.0,0.6177552
29,118.0,,0.0,
30,122.0,0.66546625,1.0,0.66546625
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
