,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,0.0,
3,14.0,,1.0,
4,18.0,,2.0,
5,22.0,6.02603,4.0,3.013015
6,26.0,222.7157,173.0,16.93276
7,30.0,239.28336,212.0,16.434048
8,34.0,149.36429,148.0,12.27767
9,38.0,83.41537,91.0,8.7443075
10,42.0,66.628944,79.0,7.4963417
11,46.0,21.182457,27.0,4.0765653
12,50.0,11.050553,15.0,2.8532405
13,54.0,5.5805764,8.0,1.9730316
14,58.0,3.3273325,5.0,1.4880283
15,62.0,1.2783264,2.0,0.90391326
16,66.0,,0.0,
17,70.0,0.60056615,1.0,0.60056615
18,74.0,,0.0,
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,0.600566,1.0,0.600566
28,114.0,0.6177552,1.0,0.6177552
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
