,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,0.0,
3,14.0,,1.0,
4,18.0,,10.0,
5,22.0,138.5987,92.0,14.449913
6,26.0,176.37024,137.0,15.068326
7,30.0,186.2347,165.0,14.498351
8,34.0,184.68694,183.0,13.6524515
9,38.0,163.16412,178.0,12.229668
10,42.0,135.78813,161.0,10.701604
11,46.0,105.12777,134.0,9.081656
12,50.0,75.88046,103.0,7.476724
13,54.0,40.45918,58.0,5.3125505
14,58.0,13.974798,21.0,3.049551
15,62.0,7.030795,11.0,2.1198645
16,66.0,1.8532661,3.0,1.0699837
17,70.0,,0.0,
18,74.0,0.5870905,1.0,0.5870905
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
