,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,0.0,
3,14.0,,1.0,
4,18.0,,2.0,
5,22.0,19.584597,13.0,5.43179
6,26.0,207.26723,161.0,16.334946
7,30.0,243.79816,216.0,16.588364
8,34.0,154.41037,153.0,12.483338
9,38.0,87.08198,95.0,8.9344225
10,42.0,49.760857,59.0,6.478312
11,46.0,10.983498,14.0,2.9354632
12,50.0,6.6303315,9.0,2.2101107
13,54.0,4.883004,7.0,1.845602
14,58.0,0.66546655,1.0,0.66546655
15,62.0,0.6391632,1.0,0.6391632
16,66.0,1.8532661,3.0,1.0699837
17,70.0,,0.0,
18,74.0,,0.0,
19,78.0,,0.0,
20,82.0,0.5698937,1.0,0.5698937
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,0.63916296,1.0,0.63916296
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
