,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,1.0,
3,14.0,,2.0,
4,18.0,,16.0,
5,22.0,167.22234,111.0,15.872042
6,26.0,153.19753,119.0,14.043594
7,30.0,121.89909,108.0,11.729745
8,34.0,88.81121,88.0,9.467307
9,38.0,76.99879,84.0,8.401257
10,42.0,98.6783,117.0,9.122812
11,46.0,99.636024,127.0,8.841268
12,50.0,86.19432,117.0,7.968668
13,54.0,62.781483,90.0,6.617749
14,58.0,45.25172,68.0,5.487577
15,62.0,21.73155,34.0,3.7269301
16,66.0,5.5597982,9.0,1.8532661
17,70.0,1.2011323,2.0,0.84932876
18,74.0,,0.0,
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,0.56434757,1.0,0.56434757
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
