,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,1.0,
3,14.0,,1.0,
4,18.0,,27.0,
5,22.0,188.31345,125.0,16.843266
6,26.0,209.84196,163.0,16.436092
7,30.0,168.17558,149.0,13.77748
8,34.0,118.07854,117.0,10.916366
9,38.0,95.33184,104.0,9.348056
10,42.0,85.18384,101.0,8.476109
11,46.0,81.59168,104.0,8.000723
12,50.0,95.03476,129.0,8.367344
13,54.0,63.47906,91.0,6.654414
14,58.0,58.56105,88.0,6.242629
15,62.0,21.092384,33.0,3.6717129
16,66.0,5.5597982,9.0,1.8532661
17,70.0,1.8016984,3.0,1.0402111
18,74.0,,0.0,
19,78.0,,0.0,
20,82.0,0.5698937,1.0,0.5698937
21,86.0,,0.0,
22,90.0,0.56434757,1.0,0.56434757
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
