,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,1.0,
2,10.0,,0.0,
3,14.0,,5.0,
4,18.0,,41.0,
5,22.0,241.0412,160.0,19.05598
6,26.0,229.15263,178.0,17.175716
7,30.0,203.16513,180.0,15.143035
8,34.0,136.24445,135.0,11.726055
9,38.0,89.83194,98.0,9.074396
10,42.0,76.74979,91.0,8.045565
11,46.0,69.82365,89.0,7.4012914
12,50.0,67.77671,92.0,7.0662107
13,54.0,53.015476,76.0,6.0812926
14,58.0,45.917187,69.0,5.5277796
15,62.0,25.566525,40.0,4.0424223
16,66.0,8.030819,13.0,2.2273483
17,70.0,1.2011323,2.0,0.84932876
18,74.0,1.174181,2.0,0.8302713
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
