,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,2.0,
3,14.0,,8.0,
4,18.0,,41.0,
5,22.0,236.52168,157.0,18.876486
6,26.0,222.7157,173.0,16.93276
7,30.0,193.00684,171.0,14.759602
8,34.0,143.30896,142.0,12.02622
9,38.0,102.665085,112.0,9.700938
10,42.0,91.931076,109.0,8.8054
11,46.0,61.193768,78.0,6.928829
12,50.0,52.305946,71.0,6.2075734
13,54.0,55.108192,79.0,6.200156
14,58.0,33.273327,50.0,4.7055593
15,62.0,26.844852,42.0,4.1422505
16,66.0,5.5597982,9.0,1.8532661
17,70.0,2.4022646,4.0,1.2011323
18,74.0,1.174181,2.0,0.8302713
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,0.5870904,1.0,0.5870904
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
