,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,1.0,
2,10.0,,1.0,
3,14.0,,0.0,
4,18.0,,10.0,
5,22.0,162.70282,108.0,15.656085
6,26.0,218.85359,170.0,16.785305
7,30.0,200.90776,178.0,15.058673
8,34.0,186.70532,185.0,13.726849
9,38.0,163.16414,178.0,12.22967
10,42.0,145.06558,172.0,11.061147
11,46.0,93.359726,119.0,8.558272
12,50.0,59.672985,81.0,6.6303315
13,54.0,32.78589,47.0,4.7823133
14,58.0,7.3201313,11.0,2.2071025
15,62.0,3.195816,5.0,1.4292123
16,66.0,0.61775535,1.0,0.61775535
17,70.0,1.2011323,2.0,0.84932876
18,74.0,0.5870905,1.0,0.5870905
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,0.66546625,1.0,0.66546625
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,0.8434037,1.0,0.8434037
35,142.0,,0.0,
36,146.0,1.0092173,1.0,1.0092173
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
