,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,1.0,
3,14.0,,0.0,
4,18.0,,1.0,
5,22.0,162.70282,108.0,15.656085
6,26.0,248.46321,193.0,17.884773
7,30.0,224.61035,199.0,15.922207
8,34.0,220.00957,218.0,14.9009285
9,38.0,175.0806,191.0,12.668387
10,42.0,118.07663,140.0,9.979297
11,46.0,72.17726,92.0,7.525
12,50.0,41.255398,56.0,5.5129843
13,54.0,16.044157,23.0,3.3454382
14,58.0,5.323732,8.0,1.8822235
15,62.0,0.6391632,1.0,0.6391632
16,66.0,0.61775535,1.0,0.61775535
17,70.0,0.60056615,1.0,0.60056615
18,74.0,0.5870905,1.0,0.5870905
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,0.5870904,1.0,0.5870904
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,0.7367031,1.0,0.7367031
33,134.0,0.784535,1.0,0.784535
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,1.128694,1.0,1.128694
38,154.0,1.2873724,1.0,1.2873724
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
