,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,1.0,
3,14.0,,1.0,
4,18.0,,16.0,
5,22.0,122.02712,81.0,13.558569
6,26.0,139.03636,108.0,13.378779
7,30.0,135.44344,120.0,12.364239
8,34.0,133.21678,132.0,11.595033
9,38.0,118.24813,129.0,10.411167
10,42.0,153.49956,182.0,11.378144
11,46.0,123.17207,157.0,9.830202
12,50.0,87.66772,119.0,8.036487
13,54.0,62.781487,90.0,6.617749
14,58.0,21.960392,33.0,3.8228137
15,62.0,7.030795,11.0,2.1198645
16,66.0,1.2355107,2.0,0.873638
17,70.0,,0.0,
18,74.0,,0.0,
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,0.9166517,1.0,0.9166517
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
