,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,0.0,
3,14.0,,1.0,
4,18.0,,33.0,
5,22.0,162.70285,108.0,15.656088
6,26.0,172.50809,134.0,14.90243
7,30.0,119.64171,106.0,11.62063
8,34.0,98.9034,98.0,9.990752
9,38.0,93.49852,102.0,9.257732
10,42.0,90.24425,107.0,8.72424
11,46.0,85.51437,109.0,8.190792
12,50.0,83.98419,114.0,7.8658404
13,54.0,59.293625,85.0,6.431297
14,58.0,43.25532,65.0,5.3651624
15,62.0,24.2882,38.0,3.9400663
16,66.0,6.1775537,10.0,1.953514
17,70.0,1.8016984,3.0,1.0402111
18,74.0,,0.0,
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,0.56434757,1.0,0.56434757
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
