,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,1.0,
3,14.0,,0.0,
4,18.0,,16.0,
5,22.0,143.11824,95.0,14.683622
6,26.0,117.15101,91.0,12.280764
7,30.0,85.780846,76.0,9.839738
8,34.0,91.83886,91.0,9.627329
9,38.0,82.4987,90.0,8.696126
10,42.0,96.991516,115.0,9.044506
11,46.0,112.97313,144.0,9.414428
12,50.0,77.353874,105.0,7.548965
13,54.0,57.20091,82.0,6.316784
14,58.0,47.248123,71.0,5.6073203
15,62.0,15.979079,25.0,3.1958158
16,66.0,4.3242874,7.0,1.634427
17,70.0,,0.0,
18,74.0,,0.0,
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,0.5769553,1.0,0.5769553
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,0.6177552,1.0,0.6177552
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,0.7367031,1.0,0.7367031
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
