,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,2.0,
3,14.0,,2.0,
4,18.0,,28.0,
5,22.0,239.53468,159.0,18.996336
6,26.0,226.57779,176.0,17.078943
7,30.0,168.17558,149.0,13.77748
8,34.0,141.29056,140.0,11.941233
9,38.0,105.41502,115.0,9.830002
10,42.0,72.53276,86.0,7.8214087
11,46.0,66.685524,85.0,7.233061
12,50.0,61.88309,84.0,6.751999
13,54.0,68.36206,98.0,6.905611
14,58.0,47.248127,71.0,5.607321
15,62.0,28.12318,44.0,4.239729
16,66.0,7.4130645,12.0,2.1399674
17,70.0,2.4022646,4.0,1.2011323
18,74.0,0.5870905,1.0,0.5870905
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,0.56572556,1.0,0.56572556
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,1.201132,2.0,0.84932864
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
